sales_rank,overall_rating,positive,negative,no_of_reviews,discount_value,discount_rate
795.0,4.2,89.0,13.0,9.0,100.0,40.0
81.0,4.6,92.0,7.0,143.0,120.0,48.0
44.0,4.5,88.0,5.0,1025.0,102.0,41.0
274.0,4.5,88.0,6.0,2193.0,84.0,42.0
29.0,4.3,83.0,11.0,726.0,143.0,48.0
232.0,4.5,88.0,5.0,125.0,201.0,31.0
36.0,4.5,91.0,5.0,112.0,21.0,18.0
26.0,4.1,78.0,11.0,373.0,103.0,69.0
302.0,4.0,74.0,16.0,215.0,96.0,64.0
318.0,4.5,94.0,12.0,10.0,59.0,20.0
941.0,4.4,90.0,12.0,10.0,20.0,29.0
514.0,4.0,77.0,12.0,39.0,89.0,10.0
305.0,4.3,83.0,12.0,329.0,201.0,40.0
158.0,3.9,70.0,18.0,300.0,124.0,50.0
939.0,4.2,85.0,11.0,28.0,136.0,31.0
495.0,4.5,96.0,3.0,46.0,35.0,12.0
624.0,4.2,85.0,15.0,20.0,260.0,26.0
